,r1,r2,type
0,11285.1176549,19613.8174836,1
1,-6230.51690308,-1823.54759585,1
2,-6229.54721564,-3224.50622359,1
3,-192.642661045,4819.27419015,1
4,11269.0346237,-6351.52970732,1
5,1044.0903479,-4882.23358723,1
6,-1819.33513948,1145.08587101,1
7,-4628.42027292,1303.69785008,1
8,-4978.25093959,-246.540551814,1
9,-1211.59928573,-307.322085687,1
10,15373.1114557,-10919.7573023,1
11,2045.08591536,-5594.45313801,1
12,-3762.79997921,1716.65630731,1
13,-3833.34800656,810.324926654,1
14,-6376.12232826,-3157.57616172,1
15,-7313.9023085,-4014.09344173,1
16,18203.8120581,7855.56450422,1
17,-4657.45437442,93.5856278383,1
18,1491.77315985,-3390.63589202,1
19,-4187.31125192,-5141.89179312,1
20,-2453.13390859,2354.62790481,1
21,-4793.12795528,1472.62467306,1
22,-3834.21363925,2498.59416983,1
23,-5516.64673932,-2143.76117205,1
24,16618.5357897,-1609.33111792,1
25,-4472.33811731,-1783.01926028,1
26,-3707.06833826,3419.79830316,1
27,-4067.20405003,1459.06854704,1
28,-3101.15433704,3432.87814335,1
29,18917.7827511,23356.2940104,1
30,-608.080929805,-3576.24756458,1
31,1356.4087718,-6101.34554748,1
32,19217.1819673,-8470.52022154,1
33,-3068.90259844,3989.97227986,1
34,-4089.72978987,2272.46670638,1
35,34.345754445,4651.92821519,1
36,-2216.08617522,-483.295109608,1
37,-6180.48103428,-3682.34330775,1
38,-3274.4109388,252.793144793,1
39,32.2476726295,-6912.88424726,1
40,-5807.41069169,-2188.06584239,1
41,2732.18258465,-10075.4091289,1
42,-2431.70346479,5106.52493544,1
43,-1468.10994596,571.291930036,1
44,-3202.33620658,143.784898827,1
45,18503.3477121,-14679.2076609,1
46,6035.16987263,-6804.87897611,1
47,1945.73543365,3920.9944611,1
48,-5557.64577943,75.6030352744,1
49,9157.17215499,-9893.10053846,1
50,-3541.25031661,1715.67126634,1
51,-6127.55917481,-3190.6857566,1
52,-3862.92153944,1492.00558152,1
53,-2077.41898701,-4301.73504214,1
54,-1753.65286586,-7279.63604522,1
55,-3678.38303933,-5199.7435075,1
56,-4810.85011106,-4703.5418165,1
57,-3488.36902286,3603.99708415,1
58,-2416.23827747,-6069.42651979,1
59,1125.94861107,3458.36550477,1
60,-1880.06731882,-2769.96754238,1
61,-4824.18215587,1172.92289007,1
62,-5102.17428153,-202.772544817,1
63,-5645.10487001,-2225.93615128,1
64,-4912.06839193,2255.35817741,1
65,22934.556018,-9296.31039526,1
66,2041.92559279,9338.25897827,1
67,-5379.93778696,-1204.88097368,1
68,16283.3483087,12752.2688207,1
69,-615.056410097,11301.7627608,1
70,-2716.51028449,7665.81781956,1
71,-2295.75268955,-805.055676646,1
72,2126.68598773,2598.49823322,1
73,-4679.76280037,1966.1156753,1
74,-3775.45667846,1181.19693216,1
75,1186.04200389,11178.5125901,1
76,-5405.33399473,-2866.51861903,1
77,-2047.92537957,-3563.83523401,1
78,-2889.94352038,5107.67820117,1
79,-168.185673367,6340.14070246,1
80,-6118.5704678,-3679.39654893,1
81,-3696.94220944,-4040.2225243,1
82,12581.0649298,-8362.89233269,1
83,-6076.14504108,-1220.0115535,1
84,-4721.04976252,-60.25466896,1
85,17723.3322388,-7416.02387924,1
86,929.544242675,-1862.45490076,1
87,-2810.01260563,-4367.62447108,1
88,18659.481649,-9206.13084797,1
89,18526.9392356,30620.4268552,1
90,-1257.72542513,-6975.33848925,1
91,6433.30457667,-2906.99673099,1
92,3128.20377212,-5220.72529953,1
93,-2718.61798744,-3750.64790115,1
94,-845.70159364,6180.61947358,1
95,15817.0467577,-6517.10027868,1
96,-4828.13832858,623.237294427,1
97,-645.634376299,3677.96751069,1
98,-1949.28227262,9545.08996525,1
99,-4785.86400358,1183.45429723,1
100,-4365.51353757,164.400252175,1
101,-5400.34028782,-1597.47722077,1
102,-621.284731009,2137.64886289,1
103,-1762.45696633,956.057549746,1
104,-4766.33179715,2377.95219775,1
105,-968.403177848,3006.01771552,1
106,-1738.12436323,947.288579714,1
107,-204.049265319,4270.77380493,1
108,-4174.89200814,-5404.6819708,1
109,26757.4822951,-3042.88322113,1
110,-5886.61602351,-511.447296821,1
111,4632.90946968,7798.73094087,1
112,-4775.97304703,160.230603777,1
113,2053.41143184,-9517.09995008,1
114,2452.90034122,-7673.58479516,1
115,-4904.59534903,-1601.7979866,1
116,-3944.07709093,-2113.50945673,1
117,-4715.65608727,2165.63133464,1
118,-4539.92458713,1502.9033557,1
119,-5819.88367853,-1336.94923173,1
120,1611.26108194,-6623.36734654,1
121,-5488.4039735,-1876.17277435,1
