,S.F.Ratio,Personal,Books
0,18.1,2200,450
1,12.2,1500,750
2,12.9,1165,400
3,7.7,875,450
4,11.9,1500,800
5,9.4,675,500
6,11.5,1500,500
7,13.7,850,450
8,11.3,500,300
9,11.5,1800,660
10,11.3,600,500
11,9.9,600,400
12,13.3,1000,600
13,15.3,400,400
14,11.1,2449,650
15,14.7,1400,450
16,8.4,1598,660
17,12.1,1100,550
18,11.5,1320,900
19,23.1,2000,500
20,11.3,1100,400
21,18.3,2000,96
22,12.7,1615,350
23,18.9,2100,700
24,12.6,800,500
25,19.6,1000,450
26,13.8,500,500
27,16.7,1908,600
28,12.8,950,540
29,12.7,821,540
30,10.4,1021,600
31,13.0,1150,400
32,22.4,1350,750
33,11.0,2250,400
34,17.6,1000,1000
35,9.7,500,500
36,10.4,750,750
37,10.3,850,600
38,12.6,1800,600
39,18.5,1346,600
40,12.2,800,400
41,13.1,1290,750
42,13.2,2480,300
43,11.1,900,650
44,11.1,715,355
45,19.6,1800,660
46,14.1,250,350
47,10.1,500,600
48,17.5,850,630
49,16.3,2375,350
50,11.6,1700,550
51,8.8,1400,500
52,11.7,800,600
53,13.8,2500,650
54,14.0,900,400
55,14.3,1000,500
56,18.0,1680,500
57,17.8,1500,450
58,13.3,900,400
59,11.9,1025,475
60,11.2,875,1495
61,21.1,1700,600
62,10.2,900,500
63,14.4,1522,2000
64,9.8,1000,410
65,13.7,700,500
66,12.6,2000,500
67,13.1,1500,600
68,13.2,875,560
69,20.5,1220,860
70,7.6,1100,720
71,12.3,1200,500
72,14.2,1200,800
73,8.8,950,450
74,10.9,1600,500
75,16.5,300,300
76,13.9,1000,425
77,12.4,576,612
78,19.8,2091,612
79,21.2,1926,600
80,14.8,1210,400
81,21.8,500,600
82,17.7,1300,600
83,14.6,1130,400
84,12.1,800,500
85,12.1,2134,300
86,10.4,550,550
87,9.2,1250,450
88,17.8,930,480
89,13.6,500,400
90,15.9,1300,500
91,2.9,1460,525
92,14.7,700,400
93,13.5,1860,600
94,9.3,1100,526
95,14.3,500,600
96,11.7,1000,500
97,15.3,1000,570
98,9.5,760,500
99,11.3,1900,600
100,6.8,620,2340
101,13.5,600,650
102,16.7,985,500
103,19.7,2250,300
104,18.1,1416,654
105,15.2,600,600
106,11.4,900,600
107,12.8,1100,600
108,9.3,850,400
109,8.3,850,700
110,9.3,800,400
111,11.1,900,600
112,21.2,1889,525
113,16.9,1000,500
114,9.6,850,500
115,10.5,950,500
116,11.0,900,350
117,15.8,1300,700
118,18.0,1618,800
119,18.1,1900,600
120,12.7,2200,500
121,12.1,1000,400
122,10.2,1000,500
123,10.5,750,500
124,12.9,900,550
125,17.2,2316,666
126,11.1,1150,400
127,11.9,1000,500
128,10.4,2250,630
129,11.5,700,600
130,13.1,600,500
131,11.5,1000,450
132,11.4,1000,380
133,14.3,1500,800
134,14.0,1200,600
135,9.5,1300,450
136,11.6,1146,450
137,11.3,900,400
138,12.1,800,600
139,11.1,500,500
140,11.3,1200,450
141,19.2,1800,470
142,15.3,900,400
143,14.7,1500,500
144,5.9,300,550
145,12.8,950,450
146,12.1,1825,450
147,13.1,1515,570
148,12.1,1000,400
149,10.7,500,600
150,10.2,900,500
151,12.2,800,550
152,6.5,2055,650
153,14.1,500,400
154,13.0,600,400
155,14.6,1320,680
156,12.6,1450,450
157,22.2,500,500
158,4.7,1100,550
159,12.0,1011,600
160,12.8,1159,400
161,17.1,1200,500
162,11.6,600,500
163,11.1,950,550
164,11.2,1250,595
165,16.5,2000,600
166,14.1,2307,500
167,15.1,1000,400
168,12.7,1800,600
169,12.5,2800,450
170,12.4,1413,450
171,15.0,1675,560
172,10.2,660,520
173,13.2,750,500
174,5.0,1162,625
175,10.6,600,600
176,13.2,1700,500
177,14.0,2200,600
178,15.7,1500,530
179,13.6,1230,450
180,16.9,500,650
181,16.2,1730,120
182,11.4,1300,600
183,17.3,700,450
184,12.8,1000,600
185,12.8,750,500
186,21.5,550,450
187,11.3,1700,450
188,18.9,1777,490
189,16.5,3020,570
190,13.9,1600,700
191,5.0,870,600
192,19.3,1888,450
193,13.5,1246,475
194,10.6,670,330
195,18.1,1323,600
196,15.1,1100,700
197,15.1,766,350
198,12.5,1600,500
199,18.1,2140,500
200,10.6,1500,750
201,13.9,3028,800
202,17.4,650,400
203,23.1,1020,600
204,21.5,1500,350
205,14.4,1735,600
206,19.1,2500,500
207,19.1,2430,400
208,14.9,1000,600
209,12.5,1345,525
210,17.6,800,500
211,16.1,1600,600
212,10.5,1818,630
213,13.5,1250,600
214,13.3,1380,500
215,15.2,500,500
216,20.1,1100,500
217,13.5,1050,400
218,19.3,1050,580
219,7.6,950,700
220,13.3,550,550
221,7.2,1700,670
222,19.3,1164,795
223,19.0,3450,720
224,12.2,800,500
225,12.1,500,500
226,27.6,1830,531
227,14.7,2400,600
228,14.2,1200,400
229,9.9,1230,600
230,9.2,1200,500
231,15.3,1000,300
232,23.6,880,550
233,20.6,1000,500
234,14.0,850,400
235,13.0,1300,550
236,14.3,800,400
237,9.5,400,400
238,18.4,350,525
239,15.6,1050,450
240,12.5,700,400
241,7.8,500,500
242,9.6,800,300
243,13.0,550,450
244,13.3,600,660
245,14.0,2000,600
246,10.6,1200,500
247,13.7,2140,700
248,17.7,910,700
249,12.3,700,500
250,9.9,1920,500
251,8.2,900,700
252,13.0,1902,500
253,13.1,1200,500
254,12.0,750,400
255,10.6,1000,400
256,12.1,600,600
257,13.9,1000,1000
258,11.1,850,500
259,14.4,690,450
260,12.5,1100,465
261,15.0,1500,500
262,11.4,1100,500
263,11.8,1300,300
264,12.9,1840,600
265,22.0,1500,350
266,11.6,1500,650
267,15.6,1000,600
268,12.3,700,500
269,21.0,2605,537
270,12.9,650,400
271,11.2,1000,500
272,11.4,2775,750
273,16.6,2500,600
274,21.3,2000,600
275,39.8,1000,700
276,16.0,1150,570
277,19.2,2055,640
278,11.5,1000,634
279,17.9,732,500
280,17.0,400,400
281,14.9,1500,400
282,13.3,1350,400
283,14.5,450,600
284,3.3,1040,500
285,14.4,624,500
286,10.6,1700,500
287,12.7,420,450
288,18.5,2000,600
289,12.4,1400,500
290,16.1,1150,500
291,11.3,1300,500
292,11.1,480,750
293,13.3,750,600
294,15.6,1795,400
295,10.7,3000,600
296,12.7,800,400
297,14.2,1100,600
298,15.1,3160,450
299,10.5,1000,600
300,12.5,1500,750
301,10.7,1320,920
302,17.2,1000,500
303,18.4,1463,508
304,16.1,1590,600
305,17.0,1702,528
306,10.1,975,525
