,r1,r2,type
0,-1950.5215679,1648.10030657,1
1,-4359.6865556,1344.16023367,1
2,9704.90134378,-2681.76134815,1
3,21104.7671477,-12407.4278567,1
4,-1510.6295159,2821.93863019,1
5,2332.22355197,-7044.5139549,1
6,-4062.70790029,264.246650126,1
7,-3579.68053216,-759.221874455,1
8,-3315.28255198,-245.54772021,1
9,-2808.21092253,-1433.13719123,1
10,4707.12257298,-10155.741525,1
11,816.981300526,-5896.00016134,1
12,-4178.0009428,528.27398082,1
13,-4683.85831859,-2881.07798475,1
14,-217.666364462,7272.60039752,1
15,-1727.73049089,3949.15908188,1
16,2619.09975003,-3631.67058954,1
17,275.364500767,14192.223206,1
18,6213.52489953,-6913.76617417,1
19,529.189329337,9308.09601814,1
20,-4548.81529398,-4481.25275389,1
21,-1725.72337197,-678.38615105,1
22,4728.36812769,-7157.39384196,1
23,-3185.12580989,1551.96135364,1
24,-3795.17601515,99.1865041766,1
25,-2029.73427324,-7017.54832073,1
26,-4587.59996127,-2607.36070952,1
27,3384.63092849,736.207044168,1
28,-4625.81097812,-4621.81095592,1
29,1308.67083198,229.476924324,1
30,-487.793707463,2094.30166369,1
31,-3339.28275161,1650.8295436,1
32,2651.3752074,-335.17642665,1
33,-4271.53023507,-221.782673427,1
34,-4607.84683621,-3015.71222993,1
35,-3140.14441167,-2540.88939007,1
36,-299.979453219,-348.203635841,1
37,-4815.59401562,-2319.77086104,1
38,-2701.60137569,2025.57241302,1
39,-3104.48782474,376.178580103,1
40,-4274.38908172,-3038.23795644,1
41,-684.602809624,4890.26392579,1
42,-4103.76450908,-5303.04319862,1
43,-2499.45656059,-6130.59851569,1
44,-1284.85919748,10687.3809853,1
45,-3663.79763816,568.062281422,1
46,-274.671822696,9324.42426421,1
47,-5187.02038338,-1468.69794887,1
48,-336.44408022,5089.18783146,1
49,-680.097103352,5991.89889733,1
50,-3787.82939378,-1425.58628473,1
51,-2655.98502409,-1010.05287176,1
52,-2903.25677948,1050.52378905,1
53,2796.83462945,-4779.42396435,1
54,-1702.5455608,8329.78450387,1
55,643.150632756,6720.37777717,1
56,-5475.04953988,-4000.76768322,1
57,-5374.38146871,-4510.75454808,1
58,2665.16481307,-3744.86745827,1
59,-4525.17710828,1195.88436508,1
60,4547.93316677,8207.69983452,1
61,-5119.54220211,-3341.71515767,1
62,-525.586289824,-1079.75268931,1
63,3250.16007173,2418.29569581,1
64,-4527.54409139,-3193.66814995,1
65,14432.3953681,28347.7814505,1
66,30146.9580371,-7585.07146455,1
67,-1429.82946904,-1506.39558195,1
68,-3738.2825629,-393.329411693,1
69,513.023280115,10629.6325755,1
70,9392.22588995,20302.2879227,1
71,4980.7228736,-4935.44901956,1
72,-4218.54725481,613.341095354,1
73,-5285.70271461,-5389.14034842,1
74,4918.55321579,-5171.97430963,1
75,-1205.64447638,6914.16070564,1
76,-3643.67873615,-3011.93158785,1
77,-5158.76214832,-2380.53695941,1
78,-4306.16911904,470.664269159,1
79,-2430.46769995,1515.30766634,1
80,-804.646459158,-2695.14791093,1
81,-3944.12943803,-7568.2469816,1
82,-3155.86501946,946.469187468,1
83,-873.801380545,-6627.24762734,1
84,-3695.36417739,-747.800518896,1
85,-2837.40543088,284.11012518,1
86,7039.69300621,-8341.64692419,1
87,-4107.62641583,1045.77425441,1
88,10622.2911194,-5485.18842974,1
89,-2318.2723782,156.840810386,1
90,-2800.14758966,2544.64952874,1
91,-1514.47202108,2604.97647697,1
92,-3477.19278646,1477.98668087,1
93,-3281.41140776,443.533436165,1
94,2260.12180807,3904.35963051,1
95,-3102.60067528,399.587915353,1
96,2805.34379059,14085.7899686,1
97,-3463.75348293,-433.645315078,1
98,-4337.68971401,543.464610425,1
99,-3346.84454268,3527.61185256,1
100,19351.5674823,-5524.43469986,1
101,-2373.01558283,-235.809071481,1
102,24427.9197879,5277.32396018,1
103,-3699.90922428,-106.170782254,1
104,-3120.33032239,-3298.30015362,1
105,12355.8687372,3898.09843251,1
106,-3088.22017767,2878.42259339,1
107,10000.8877512,-199.644232256,1
108,3062.61778468,-4427.12162893,1
109,-4211.19132753,-2546.88958598,1
110,7308.18422071,-1493.17112053,1
111,-2698.70357358,1830.01259354,1
112,-1968.5613864,901.601888939,1
113,-4001.16081018,82.4539412541,1
114,-1312.29631192,-1007.58837691,1
115,-1788.52894517,-6943.73495242,1
116,1939.77429655,-4439.08327784,1
117,14443.7035451,-6611.92855226,1
118,-4379.78191977,-1423.65177282,1
119,-3058.85365244,-949.715528998,1
120,-1448.41650224,7798.44948439,1
121,-3334.76641667,-3327.31865074,1
122,329.050593305,-8751.24994145,1
123,-4369.9821348,-1655.65275442,1
124,-3954.53189829,-712.37230499,1
125,-2804.3029164,-6096.81567634,1
126,-2404.65733124,5261.05301687,1
127,-4319.3355551,-1608.80213738,1
128,6343.83237649,-229.575957124,1
129,1922.31927027,10964.0682258,1
130,14439.8495715,-6269.67825936,1
131,-2256.06663689,-4837.49580531,1
132,9940.09572657,25769.6541046,1
133,-2566.02867138,45.6607490802,1
134,-3181.91563237,-8017.67612236,1
135,-2589.90773434,-181.566584457,1
136,-2384.97339307,7868.44094703,1
137,-4831.96645581,-2437.37145109,1
138,14348.327958,-7011.34258773,1
139,-760.427887118,-4980.83135687,1
140,-3708.53268034,-3842.41188236,1
141,-2919.53720742,-2074.27183173,1
142,348.500122027,-5579.92933844,1
143,-4796.960079,-6718.11135734,1
144,-4100.20906496,1199.81096895,1
145,-4911.31587915,-4294.67105579,1
146,-1418.18139736,7209.02252087,1
147,-1988.61634232,1878.42944054,1
148,-1447.77930401,9830.29092534,1
149,25242.7663881,-9739.76690656,1
150,-1292.98069697,5046.72581221,1
151,-1762.00130217,1051.3548894,1
152,3864.34531651,10238.8254794,1
153,-3226.95827316,-1552.90729623,1
154,-854.967773105,-532.190677355,1
0,1076.19833122,-4521.55413794,2
1,1754.32313846,-2356.61333989,2
2,3158.5783164,-2503.87650289,2
3,-1241.12545431,-2973.47208777,2
4,6019.50013996,-4383.09202818,2
5,8422.44693459,-1176.55998175,2
6,598.279678393,-1668.55564038,2
7,8415.9403575,-7651.82179415,2
8,-854.790126788,-2564.1906906,2
9,8309.41021642,-401.515798254,2
10,10611.927946,-3367.08918288,2
11,1406.81084321,-3606.29503107,2
12,-120.093609109,-3719.68978327,2
13,4538.90860985,-6124.56116539,2
14,1013.14480344,-262.086465616,2
15,-178.183335938,-2389.64235491,2
16,3233.94344048,-3595.89817952,2
17,7644.00510818,-4508.90677294,2
18,734.077406627,-567.249385736,2
19,230.251788308,-3261.49511127,2
20,5036.48582321,-3492.1867358,2
21,1188.09938232,-3656.37443012,2
22,4539.22961108,-5692.62810903,2
23,519.230877057,-2578.38694454,2
24,2031.44369701,-4893.28702691,2
25,1780.79100463,-3901.31446164,2
26,4359.65240788,-2832.75814476,2
27,2517.32120975,-2435.73649168,2
28,-91.0278504787,-4093.47004183,2
29,9396.65280462,-6109.98213528,2
30,9730.9610751,-4477.75088883,2
31,3419.33970392,-4207.43714404,2
32,2424.23296305,-908.790324452,2
33,139.975004883,-3527.31420886,2
34,-840.539211375,-4183.6359609,2
35,7459.77540918,-5042.50813695,2
36,1261.11627216,-490.286028265,2
37,1946.24833577,-4522.61413389,2
38,-1495.91517982,-3401.31201168,2
39,5008.97134776,3328.75265755,2
40,1686.58918674,-3372.89859718,2
41,-4762.65247921,1616.72118055,2
42,-417.552636564,-2190.68775182,2
43,-2109.97180667,-1554.46252154,2
44,-7117.3993369,-336.164104521,2
45,-2424.7149029,-1643.31888985,2
46,-2989.87452835,-3060.44980633,2
47,-2247.90585427,-2832.08990396,2
48,-2457.72073622,-2878.14564117,2
49,-4053.94388275,995.089087241,2
50,-6483.15802532,-1246.16225234,2
51,-6653.40300719,-159.498158396,2
52,-4965.34365089,4913.57960398,2
53,-3484.77767433,-2534.88355811,2
54,-2843.54314132,-2466.97314784,2
55,-5092.12885547,-1962.80412428,2
56,-8089.45501867,736.524832349,2
57,-2030.35571059,9718.31937893,2
58,-3110.0077002,-2676.40402195,2
59,-884.716817929,-1796.57125511,2
60,-5414.50457522,-417.364924569,2
61,-1501.23511393,-2877.67007171,2
62,-3651.44755528,-2470.88355188,2
63,-3212.08081517,-2584.71438537,2
64,-3334.18376662,-1208.74440707,2
65,-4297.56442708,-1143.45038793,2
66,-5008.82567307,-1072.6635511,2
67,-1690.66259923,-3466.1915414,2
68,-3319.67236461,1716.19006333,2
69,-6434.59767677,-623.76061061,2
70,-1954.45586871,-99.3869585458,2
71,-1370.41190655,-2586.11526736,2
72,-1603.4670833,-3697.25404922,2
73,-4577.26467084,-1247.34180395,2
74,-2390.19274066,-2603.50866114,2
75,-6455.23833708,3385.76008573,2
76,-3308.95788979,7660.13810071,2
77,-2450.6332777,3145.86378062,2
78,-532.728295529,-3009.11636595,2
79,-861.19002524,-1897.112993,2
80,-4248.34171694,-2331.73778304,2
81,-1723.16288628,-2794.77688172,2
82,-4817.47458174,-1377.54756761,2
83,-4306.53518657,-511.61748328,2
84,-2390.75055396,-2273.95788755,2
85,-6232.11190948,-36.3447962625,2
86,-2904.38509125,961.478525395,2
87,-2299.61726542,205.893508625,2
88,-1698.63158604,-3261.00916783,2
89,-937.292644433,-3042.66770974,2
90,-1497.19096761,-3555.49448086,2
91,-2345.99610405,-757.124515794,2
92,-5481.83414935,-993.759541176,2
93,-2272.38520899,-64.7259743197,2
94,1857.54845116,2919.39868208,2
95,-1342.09307691,-2795.49171567,2
96,-3797.90863151,-2220.8858697,2
